year,inflation_rate,lower_bound,upper_bound,violation
2002,0.01741206061248249,-0.00356,0.039,
2003,0.08031323787325569,-0.00356,0.039,high
2004,0.08597099746314998,-0.00356,0.039,high
2005,0.04483319579675403,-0.00356,0.039,high
2006,0.07236226438597723,-0.00356,0.039,high
2007,0.01619109467622894,-0.00356,0.039,
2008,-0.056660809031569406,-0.00356,0.039,low
2009,-0.11061739431532217,-0.00356,0.039,low
2010,-0.014208627061801201,-0.00356,0.039,low
2011,0.050457056692587425,-0.00356,0.039,high
2012,0.038669293785756585,-0.00356,0.039,
2013,0.025991087997891484,-0.00356,0.039,
2014,0.01933987992475159,-0.00356,0.039,
2015,0.003748696726516378,-0.00356,0.039,
2016,-0.011496256555682654,-0.00356,0.039,low
2017,-0.04761088455952764,-0.00356,0.039,low
2018,-0.05334768887725497,-0.00356,0.039,low
2019,0.009376426850045503,-0.00356,0.039,
2020,0.012384773072704913,-0.00356,0.039,
